title,speaker,description,votes
Flex your head: Booking your own hackathon,Proposed by Tom Meagher 3 months ago.,"Tired of being the only news nerd in your town? Look to the punk rock scene for inspiration and d.i.y. Go to the local college, borrow some wifi, print up flyers and throw a hackathon. You may be surprised at the like-minded data misfits you'll attract. I'll share the many mistakes I made while organizing the inaugural ""Hack Jersey"" and offer tips on how you can foster a local counterculture of news innovation.",13
Digging into local finances,Proposed by Ryan McNeill 3 months ago.,Yo! Census has some datasets that can help you dig into local finances and compare across the country. We'll give a quick overview. Like a boss. ,12
Silent Lightning/a framework for sanity,Proposed by Maurice Tamman 3 months ago.,Three of the historically most loquacious and opinionated attendees of NICAR must sit silently while the audience peppers them with questions about the technology that will save journalism. (A separate vote to be held that will identify the panelist.)  ,12
Tabula: extracting tables from PDFs,Proposed by Manuel Aristarán 3 months ago.,"A demo of Tabula (http://tabula.nerdpower.org), a tool to liberate data tables trapped inside evil PDFs. ",12
"Dude, who stole my Congressman?",Proposed by Paul Parker 3 months ago.,"The U.S. House of Representatives is apportioned every 10 years, but population shifts constantly. Find out how to use yearly Census population estimates to find our whether your state is gaining or losing leverage in Washington, how many people you are away from the threshold, what demographic groups are the heroes or goats and what state stole your Congressman (or whose you stole). One Eastern Seaboard state has already gained a seat at the expense of a Midwestern state.",9
Making friends with NetCDF files: climate data unleashed,Proposed by Peter Aldhous 3 months ago.,"A demo of two simple tools used to wrangle and visualize the data behind http://warmingworld.newscientistapps.com/. They're free, and can unleash other datasets on weather, climate etc",9
mitmproxy for journalism — and cats,Proposed by Jeremy Singer-Vine 3 months ago.,"A brief introduction to mitmproxy — the powerful, versatile, SSL-capable man-in-the-middle proxy. I'll show a few examples of how it's useful for analyzing HTTP(S) traffic, and then demonstrate how to replace every image you see online with photos of cats.",8
The PANDA Project Architecture in 5 minutes,Proposed by Christopher Groskopf 3 months ago.,"Deep in the dirty, mucky innards of how the PANDA Project works. A deep dive into the dark art of building a big data application.",8
"Why you should, and shouldn't, fear the drone",Proposed by Matt Waite 3 months ago.,"Drones are getting a lot of attention lately. But are they Skynet/Big Brother incarnate or a useful tool for everyone from cops, journalists to the local golf course owner? Answers WITH a demonstration!",7
How much bond contractors cash in,Proposed by Matt Clark 3 months ago.,"Ever wondered how much financial advisers, underwriters, rating agencies, etc. made working on your school district's multi-million dollar bond deal? Well, stop wondering.",6
Scrape all links from a web page with one click,Proposed by Timothy Barmann 3 months ago.,"Here's a simple way to grab all the links from any web page, ignoring all the extra stuff you don't need.  All it takes is a click on a simple ""Bookmarklet"" you save to your Favorites toolbar. It pops open a new window with all the links, one to a line, ready for copy and paste.",5
Build it Now! Node.js & Express for speedy makery,Proposed by Pam Selle 3 months ago.,"One of the most valuable things you can do to gather feedback on a proposed project is putting it up on the web and sending it around. In 5 minutes, we'll build a simple Node.js & Express app, AND deploy it on Heroku (assuming cooperative internet).",4
