title,speaker,description,votes
b'How to Tell Data Stories on Social',b'Proposed by: Gurman Bhatia',"b'So many platforms, so little time. Do I use GIFs or create something in After Effects? Just take a screenshot of that chart or use the latest social media meme-making tool? The dirty secret about telling data stories on social is that you need to treat each platform in its own unique way and tailor the story accordingly. In this talk, I will present examples of data stories told in innovative ways on different social media platforms. By the end, you will walk away with ideas and simple tricks to bring back to your newsroom.'",b'25'
b'Practically Painless Parallel Processing (in Python)',b'Proposed by: Martin Burch',"b'Have you ever waited for a script or long-running database query? Learn how I made my code run eight times faster by changing two lines, and you can too. Not working in Python? Also learn about GNU Parallel, which can speed up any repetitive command-line task.'",b'24'
b'The shocking secret to successfully negotiating for data: Be nice.',b'Proposed by: Chad Skelton',"b'Like many reporters, I used to spend a lot of time on my blog and Twitter criticizing government agencies for refusing to release data or taking too long to do so. Then, a couple years ago, I tried something different: Praising the few agencies that actually cooperated with my data requests. A case study in why carrots are as important as sticks in getting access to data.'",b'24'
b'Who run the world? Hybrid journalists!',b'Proposed by: Anne Li',"b'Leaving business decisions to ""the business people"" is no longer a luxury traditional and computer-assisted journalists can afford. I\'ll talk about how hybrid journalists at NPR One use audience data to change NPR\'s 46-year-old audio storytelling strategy in a way that has the potential to take NPR\'s business model to the modern age - without resorting to cat videos.'",b'24'
b'Check Your Blind Spots',b'Proposed by: Audrey Carlsen',"b""Data journalism isn't always as objective as we'd like to think it is. We all know the importance of evaluating data sources for credibility. Let's turn that mirror inward and reflect on how our own individual biases affect the way that we select and present data.""",b'22'
"b""Why Don't More J-School Students Code?""",b'Proposed by: Lindsey Cook',"b""Lindsey Cook spent a year talking to journalism students about coding. Despite an industry that is apparently clamoring for journalists with more tech skills, students (and the professors teaching them) aren't getting the message. In the talk, she'll detail the often depressing reasons why, as well as what working journalists can do to change them.""",b'21'
b'Daily Keyboard Exercises For Reducing Wrist Strain and Making Stronger Computational Brain',b'Proposed by: Dan Nguyen',"b""Programming and data analysis are already difficult enough without you diverting your brain energy to memorizing variable/function names or even just keeping focused as you switch between multiple applications. Learning a few keyboard shortcuts -- which can be used whether you're working or playing -- can free your brain for the more thoughtful part of computational work, and maybe even reduce risk of carpal tunnel syndrome from mouse/trackpad overuse.""",b'19'
"b""You\xe2\x80\x99re doing it wrong: the do\xe2\x80\x99s and don'ts of social media from Tumblr teens and Snapchat queens""",b'Proposed by: Nicole Zhu',"b""Social media and partner platforms are increasingly important for news and media organizations, but building up a presence is so much more than just calling the youngest person into the room and asking them to explain Snapchat. We\xe2\x80\x99ll discuss the do\xe2\x80\x99s and don\xe2\x80\x99ts for the most popular social media platforms, ranging from Mic's great Tumblr presence to the success of Vox\xe2\x80\x99s Snapchat Discover, with tips and tricks from (gasp) youths.""",b'18'
b'7 things I learnt about storytelling ... from Disney movies',b'Proposed by: Aditi Bhandari',"b'Disney movies may seem like child\xe2\x80\x99s play at first glance, but we can learn from a lot them about visual storytelling, choices about media formats, and accessibility. Here\xe2\x80\x99s 7 things I learnt working my way through almost all 54 original Disney movies in the last 3 years.'",b'18'
"b'Grow your own organic, artisanal, hand-crafted datasets'",b'Proposed by: Robin Kwong',b'What to do when manual data entry is the only option - and how code can still help',b'17'
"b'How America killed African journalism. Thanks, America!'",b'Proposed by: Chris Roper',"b'Ok, not really. But it is true that American tech companies are eating/have eaten the revenue base away from under the shaky structures of traditional African news media. Which means the death of democracy. Which means you\xe2\x80\x99re eating your own children. Ick. So I\xe2\x80\x99ll tell you how we\xe2\x80\x99re trying to fix that. Or at least, how we\xe2\x80\x99re trying to go down fighting. In five slides. Maybe four.'",b'17'
"b""(\\d ) things U.S. NICARians don't have to (know|worry about)""",b'Proposed by: Isao Matsunami',"b""Dozens of non U.S. reporters attended NICAR last year and brought a lot of precious know-hows back home.Some techniques are ready-to-use (yes, I used them), but some are not applicable in their country due to custom, language, geometry, law, social taboo, FOIA(lack of it), state of open gov...I (we, hopefully) will show you several things that U.S. NICARians don't have to worry about but that foreign NICARians are tackling (there might be inverse cases), which might inspire something in U.S. data journalists.I want this to be a kind of collective presentation and needs collaborative inputs from international journalists/foreign correspondents if accepted.""",b'16'
b'Why Nobody Understands Mass Incarceration (And The Problems Your Stories Might Have)',b'Proposed by: Paul Levande',"b'""Mass Incarceration"" has been a big news story for a long time, but unfortunately no one (myself included) really understands it. The problems with understanding it include incomplete or unreliable data, the temptation to generalize from biased samples to larger populations, and the difficulty of conceptualizing at the individual level--all problems that show up in other topics involving the numbers of millions of people over time. I\'ll explain as much of it as I can in five minutes.'",b'15'
b'Take back the maps!',b'Proposed by: Jon Schleuss',"b'Journalists are great contributors to the open-source mapping community. And the data in OpenStreetMap can be leveraged for our gain. You can also spin up a ""map maker"" and get started building your own maps for the internet, social media and that queer old thing called a news-paper. Jon Schleuss shows how the Los Angeles Times uses (and contributes to) OpenStreetMap.'",b'14'
b'Solidarity and support of our international colleagues.',b'Proposed by: JeffKLO',"b'From Asia to Africa, Latin America to the Middle East, many of our colleagues face Internet blackouts, imprisonment, threats and even death as they work to reveal what is happening in their countries.  I\xe2\x80\x99ll talk about why we should care and concrete steps we can take to support and work with them.'",b'14'
b'5 ways to use GitHub in student newsrooms',b'Proposed by: Nicole Zhu',"b'GitHub is much more than Octocat, pushing, pulling, merging and branching. I\xe2\x80\x99ll talk about ways we\xe2\x80\x99ve used GitHub at North by Northwestern, an online newsmagazine at Northwestern University, to build tools, teach web development, write better documentation and more!'",b'14'
b'We can no longer ignore our ads',b'Proposed by: Justen Fox',"b'What does this have to do with NICAR? Going beyond an understanding of how an ad support organization is funded, we need to take more ownership over the entire experience of our readers. A talk about what is happening with ads today, and more importantly what developers and others can do to have the tools and information needed to help their publication and the entire ecosystem improve the overall experience on our sites.'",b'14'
"b'Common mistakes all newbies make, with illustrative embaressing examples from my daily life'",b'Proposed by: Will',"b'Everyone new to the world of journalism and data make mistakes. I know because I am an intern, fresh in the world of journalism, and a certifiable expert in making mistakes. I will give an overview of some common mistakes that I have made and how we can all avoid them in the future.'",b'13'
b'Let\xe2\x80\x99s Talk Embeddable Widgets!',b'Proposed by: Gurman Bhatia',"b""We build interactive stories and databases but often they live in the constraints of our own sites. What if we built more widgets that could live anywhere on the Internet? Widgets - the sole purpose of which was to inform and tell the story first and bring back people to our site later. And if we did build more of these, what is our audience for it? We will look at some existing examples and I'll show you what widgets I think could have been built with some major stories.""",b'12'
b'How to get ready for Facebook Instant Articles',b'Proposed by: Jake Spurlock',b'Facebook is opening Instant Articles to all publishers in April at F8. Learn what you need to do to be ready to launch Instant Articles for your publication.',b'10'
b'Which tool to learn next.',b'Proposed by: Lisa Charlotte Rost',"b'The data visualisation field is full of very diverse tools \xe2\x80\x93 you can\'t possibly learn them all. (Although it seems everybody else does.) But with which tools should you start and with which ones continue? Which ones promise the most functionality with the flattest learning curve? And should you focus on learning one powerful piece of software or lots of smaller tools? I will offer a way to think about these questions, to finally end your ""OMG SO MANY! FOMO!"" problem.'",b'9'
b'Jupyter extensions to play with your data',b'Proposed by: Marcos Vanetta',"b'We are going to surf some very useful extensions to play with your data like a champ in Jupyter notebooks. How to present you data, visualize it and share your results directly from your notebook.'",b'9'
"b""Europe's data, documents and stories in five minutes!""",b'Proposed by: Daniel Drepper',"b""Have you ever talked to a reporter from Europe? Did you ever cooperate with one? You definitely should. Because if you don't, that's not only a shame, you also miss a lot of sources for data and documents \xe2\x80\x93 lots of them regarding the US. And you also miss a lot of great stories as well. I'll tell you about the most important stories you can get by cooperating with your European colleagues \xe2\x80\x93 all stories with an American angle. And I will give you a list with special European resources for data and documents. Get your European-NICAR-experience in five minutes.""",b'8'
b'Granola parenting in a Soylent world',b'Proposed by: Arjuna Soriano',"b'My non-judgmental spiel on why I parent like a hippy even though I work in tech and journalism. Bonus, free hugs.'",b'5'
b'WebVR Starter Kit - Virtual Reality for the rest of us',b'Proposed by: Dan Zajdband',"b'With the evolution of the Smartphone and the rise of new technologies, such as Google Cardboard, we face the possibility of building amazing new virtual worlds in order to reimagine the stories we want to tell to our readers. However, it seems that the generation of this kind of resource is limited to a selected group of video game and graphics programmers. This Lightning talk breaks this myth and shows, with the help of simple tools, that if you can fill a simple spreadsheet, then you are capable of creating incredible Virtual Reality experiences.'",b'3'
b'How to quickly and effectively rapid prototype (video) tools for journalists in the newsroom.',b'Proposed by: Pietro',"b'DESCRIPTIONAn insight into how to quickly and effectively go about making (video) tools for journalist in the newsroom.quickQuote, takes the pain out of finding a video quote for a news article.We will consider how it was realised in under 3 months. Drawing components from existing open-source projects, Using a mixture of lean, agile approach leveraging HTML5, javascript, JQuery and rails.http://www.niemanlab.org/2015/09/a-new-tool-from-the-times-of-london-lets-you-easily-detect-and-capture-quotes-from-a-video/'",b'3'
b'Data and Fires in Indonesia',b'Proposed by: Nithin Coca',"b""Last year, the most horrific fires in human history broke out in Indonesia, the consequences of years of deforestation and negligence. What began shortly thereafter, and continues to this day, is a battle of accusation, with hard to access, often conflicting data - maps, concessions, GHG emissions, and health statistics - at the center. I'll explain how I, as a journalist, told stories about this muddled field and reflect on how to use data in places where the data is, often, the story itself.""",b'3'
