title,speaker,description,votes
b'Data out loud: Building charts that blind users can read',b'Proposed by: Leslie Shapiro',"b'Journalists increasingly rely on charts to simplify complex data for readers. But in our noble quest to demystify data, we sometimes make it much harder for people with vision impairments to read. This talk will go over 5 quick and painless (really!) things we can do to make charts more accessible to people who use screen readers.'",b'33'
b'I can draw my charts with no libraries...just SVG...just SVG.',b'Proposed by: Divya',"b'As data journalists, we use libraries like D3 to create beautiful and compelling visualizations for the web. However, do we really understand the inner workings of SVG and how they get rendered on the web? In this talk, I will walk you through the process of going from CSV to SVG and highlight important gotchas when charting data without a library.'",b'28'
"b""A drug's life: how to connect data on pharmaceuticals across 10 different government sources""",b'Proposed by: Marc DaCosta',"b'60% of Americans over the age of 20 take at least 1 prescription drug. But reporting in-depth on particular pharmaceuticals can be daunting. From adverse event reports, to clinical trials, to medicare spending, to trends in doctor prescription patterns, there is a wealth of data out there but its sioled and hard to work with. In this talk I will provide an overview of the regulatory data available about drugs and discuss techniques for linking them together.'",b'21'
b'All the Data We Cannot See',b'Proposed by: Kate Rabinowitz',"b""Data is not truth. In many cases it can provide only a distorted perception of reality. I'll talk about all the data we cannot see: why there is missing data, the repercussions, how to be on the lookout for missing data, and what to do (or not do, as it may be) about it.""",b'19'
b'What I learned by downloading satellite photos of every power plant in the US',b'Proposed by: Marc DaCosta',b'The production of electricity in the United States accounts for approximately 5% of global CO2 emissions. That\xe2\x80\x99s a really big and quite abstract order of magnitude. And it begs the question: how can something so gargantuan be re-scaled to a more human perspective? In this talk I will cover helpful tips for finding data on critical infrastructure and offer novel approaches to visualizing it.',b'19'
b'43',b'Proposed by: Rachel shorey',"b""There's lots of divisive stuff in the world. You know what can't be divided*? Prime Numbers.Five minutes. Forty-Three facts about prime numbers. That's just about 7 seconds per factoid. Facts will range from the cryptographic to the mathematic to the musical to the silly.*Except by one and themselves""",b'18'
"b'Please comment - no, really!'",b'Proposed by: Cezary Podkul',b'How do you maximize your chances of getting a meaningful comment for your investigation? Here are three easy strategies you can use to get organized and share documents and data in a way that is sure to elicit more than the usual canned response.',b'17'
b'The Power of One',b'Proposed by: Tisha Thompson',"b'By the end of NICAR, your head will be filled with brilliant tools and tricks for crunching millions of numbers and visualizing their results. But this TV reporter makes an argument for why the smallest number is the biggest deal.'",b'17'
b'Self-Care in the Age of Trump: How Basic Therapy Techniques Can Help You Put Things In Perspective',b'Proposed by: Lindsay Carbonell',"b""The explosion of the political news cycle since Donald Trump won the election has caused many journalists to be more overworked and stressed than ever before. Learn about some basic cognitive behavioral therapy techniques to help manage stress \xe2\x80\x94 it's not just for people with mental disorders!""",b'17'
"b""Grief's geography""",b'Proposed by: Patrick Cain',"b""Maps and interactives can show the world as it is now, or reconstruct a forgotten past on a familiar landscape. I'll go through how I turned a dusty card file from the 1940s into an interactive map showing Toronto's 2,800 Second World War dead on their next of kin's homes. (There were some challenges along the way.)""",b'16'
b'What Rocket Science Can Teach Us About Designing for Humans',b'Proposed by: Justin Myers',"b""NICAR-L and news-nerd Twitter is fantastic, but in 5 minutes, I'll show you what NASA can teach us when it comes to how people process information and interact with tech. Hear about how putting people in space has resulted in great advice for the newsrooms of Earth, such as pointing out missing data, labeling things clearly, and handling the regret of pushing the wrong button.""",b'15'
b'5 things I learned about online storytelling from the Star Wars opening crawl (and other things you saw on TV)',b'Proposed by: Adam Playford',"b'And the most important things I learned to STOP doing. Nailing cold opens, finding your form, putting stories in order \xe2\x80\x94 and always be closing.'",b'15'
b'The News Lab: Lessons in Product Design Thinking',b'Proposed by: Lindsay Carbonell',"b""Have an idea? How do you know if it will work? We\xe2\x80\x99ll talk about how to be pragmatic yet creative when expanding on a new idea, whether it\xe2\x80\x99s a news product or a story template. We'll take lessons from Reese News Lab, a student think tank at UNC that has students assess the viability, desirability, and feasibility of their news product ideas while crafting pitches to investors.""",b'14'
b'Welcome to weird Florida',b'Proposed by: Mike Stucka',"b'This vibrant land hosts cannibals, a guy who tossed an alligator through a drive-through window, a politician who was arrested before his city *even existed*. Rumor has it that normal stuff happens here, too.'",b'14'
b'10 easy steps to protect your data',b'Proposed by: Jorge Luis Sierra',"b'With the data-driven stories and big data era, it comes also the era of cyber-attacks and digital espionage. Learn in five minutes what you can do to protect your data from any sort of viruses, mistakes, NSAs and hacking teams.'",b'13'
b'Representing our countries',b'Proposed by: songbogong',"b'What can international attendees contribute to NICAR? 5 non-English speakers will show, by quick mic relays in English, the most impressive digital works written in their languages and peculiar to their localities. Speakers are not necessarily the authors of them but represent his/her country. IMPORTANT: All international participants, I need you to join this presentation if this pitch is accepted.'",b'12'
b'Make your dataviz work twice',b'Proposed by: Anatoliy Bondarenko',b'The fuel used for the legendary Concorde supersonic jet served three purposes: fueling engines; cooling the surface and internal systems; shifting the center of gravity to maintain aircraft\xe2\x80\x99s balance. During my talk I will show examples how to obtain the similar efficiency with surprising and creative double use of the regular data visualization elements.',b'11'
b'Google Trends and the 2016 US election',b'Proposed by: Simon Rogers',"b""What did Google Trends tell us about the 2016 election? Google Data Editor Simon Rogers talks about what we learned (and what we didn't).""",b'10'
b'Programming language picks!',b'Proposed by: Yoohyun Jung',b'What is the most useful programming language for data journalism? Make your arguments.',b'10'
"b'\xe2\x9c\x8as, \xf0\x9f\x8c\xb9s, and major \xf0\x9f\x94\x91s: Emoji data science'",b'Proposed by: Hamdan Azhar',"b'Emojis have been called a \xe2\x80\x9cnew type of language.\xe2\x80\x9d According to statistics cited by Ad Week, as much as 92% of the online population uses emojis. Twitter reports that since 2014 alone, over 110 billion emojis have been tweeted. Yet, despite the profusion of emojis in digital life, little research has been done that leverages emojis to understand popular sentiment around current issues. I\xe2\x80\x99ll talk about how emoji data science, a largely unexplored field, might be a powerful new methodology for both the computational social sciences as well as fast data journalism.I\xe2\x80\x99ll share preliminary research based on an analysis of millions of tweets that explores the relevance of emoji analytics to fields ranging from pop culture (i.e. the Kanye West vs. Taylor Swift dispute), to politics (the US presidential elections as well as Brexit), to gender norms, to the Olympics, and more.'",b'10'
b'Make a simple cron-powered Twitter countdown bot in just three weeks!',b'Proposed by: Ben Keith',"b""Countdown clocks are clich\xc3\xa9. You want to build one of your own. They're almost everywhere. They could be in more places. This talk will help you colonize the final frontier of countdown clocks by building a lightweight, cron-based, bash-powered daily countdown Twitter bot. It'll also talk about problems encountered and lessons learned while building @looming_midterm, the bot this talk is based on.""",b'9'
"b'Life, Love and Poop Emojis: Decoding My Relationship Using SQL'",b'Proposed by: Lindsey Hoshaw',"b'How do you quantify the ebbs and flows of love between a tech-savvy Aussie and a Bitmoji-loving journalist? With SQL obviously! Charting a course through fart jokes, gifs and \xe2\x80\x9cI love you,\xe2\x80\x9d data reveals what love *really* looks like in my relationship.'",b'7'
b'Draw any type of timeline with a single web-based tool',b'Proposed by: Matthew Brehmer',"b""A timeline graphic is a great way to tell a story, but it can be difficult or tedious to make and customize timelines using popular charting tools. In this talk, I'll introduce Timeline Storyteller (timelinestoryteller.com), an expressive web-based timeline authoring tool released by Microsoft Research in January 2017. Using this tool, you can create a wide range of timelines, with each design emphasizing a different aspect of the underlying data. You can also selectively annotate the timeline and export it using one of several image formats. Timeline Storyteller was inspired by a survey of existing timeline authoring tools and over 200 bespoke timelines, consolidating a diverse design space within a single application.""",b'4'
"b""We already invented Star Trek replicators. They're called fax machines.""",b'Proposed by: Joe Fox',b'With some caveats.',b'4'
b'Data-driven chart annotation with ChartAccent',b'Proposed by: Matthew Brehmer',"b""Adding annotations to a chart such as text, shapes, and highlights can draw the viewer's attention and convey key messages. However, the process of annotating a chart is tedious, imprecise, and often independent of chart creation, meaning that the annotations are unaware of the underlying data. I'll introduce ChartAccent (https://chartaccent.github.io/), a web-based tool that combines chart creation and data-driven annotation, developed in collaboration between visualization researchers at UC Santa Barbara, Pennsylvania State, and Microsoft Research. Inspired by a large corpus of annotated news graphics and tools like the NYT's Mr. Chartmaker, ChartAccent supports an extensive range of annotation forms and styles for commonly used chart types.""",b'3'
