year,title,speaker,copresented,copresenter,org,nonmale,location,international,description,votes,top_10,gave_talk
2010,Quick introduction to Ruby,Ryan McNeill,0,NA,Dallas Morning News,0,"Dallas, TX",0,Pretty simple introduction to the basic concepts of Ruby.,9,0,0
2010,Play with Linux Safely,Michael Davis,0,NA,imc2,0,"New York, NY",0,"You'll learn how to install Sun's Virtualbox and Ubuntu on your PC. Virtualbox is also available for OSX so this won't be just a PC talk. If time permits you'll also learn about Webmin, a web based GUI for management of Apache, MySQL, PostgreSQL and more.",8,0,0
2010,Get on the same page,Paula Lavigne,0,NA,ESPN,1,"Bristol, CT",0,Use simple wiki tools to organize long-term investigative projects and breaking news resources. Works especially well for newsrooms stressing cross-platform collaboration and editing.,8,0,0
2010,What Gov2.0 means for us,Daniel Lathrop,0,NA,InvestigateWest,0,"Seattle, WA",0,Journalism's role in online open government.,7,0,0
2010,Augmented reality mobile apps in seconds,Luke Rosiak,0,NA,Washington Times,0,"Washington, DC",0,"If you've got geographical data in a django app, why not hook it into an augmented reality application for iPhones and Android phones, allowing people to walk down the street looking into their camera phone and see the buildings in front of them... with your data on top?",6,0,0
2010,Student perspective on CAR classes,Michelle Minkoff,0,NA,Medill School of Journalism,1,"Washington, DC",0,"If people are interested, I can give some student perspective as well as suggestions for journalists teaching CAR classes. Ten weeks last fall took me from never having heard of the field to pursuing a new career path with vigor.",6,0,0
2010,php Caspio alternative,Tim Henderson,0,NA,Pew Charitable Trusts,0,"Washington, DC",0,Build an online data lookup in minutes using a template and the DataGrid PHP class,6,0,0
2010,Interactive charts... effortlessly,Luke Rosiak,0,NA,Washington Times,0,"Washington, DC",0,A few lines of pasted code--with almost no programming knowledge or time required--can turn an HTML table of data in your article into various forms of dynamic graphs.,5,0,0
2010,Shell scripting redux,Jack Gillum,0,NA,USA Today,0,"McLean, VA",0,"A handful of simple, but powerful, Linux-based shell commands -- that can run under Windows and Mac -- for joining voluminous text files, doing universal search-and-replacing and scraping URLs.",5,0,0
2010,GRRR (Get Rid of Rascaly dRopdown lists) with jquery,Tim Henderson,0,NA,Pew Charitable Trusts,0,"Washington, DC",0,"When your dropdown options on database lists get too long, you can use easy jquery AJAX libraries to instead suggest values as the user types. It's fast and foolproof for them, easy for you with a little bit of code.",5,0,0
2010,File sharing using Google Docs,Danielle Cervantes,0,NA,San Diego Union-Tribune,1,"San Diego, CA",0,"Share files for projects across newsrooms, bureaus, classrooms, etc. It's a cinch.",4,0,0
2010,Data-cleaning tricks using Excel,Danielle Cervantes,0,NA,San Diego Union-Tribune,1,"San Diego, CA",0,"We've seen them on NICAR-L over and over again: Paste Special, text-to-columns, trim and left/right/mid functions.",4,0,0
2010,Realizing CAR's Full Potential: An Outside Perspective,Michael Davis,0,NA,imc2,0,"New York, NY",0,"CAR is a great way to enhance a news story, but can it do more? Can it provide insights impossible to understand through traditional reporting? Is there a visualization for the Bernie Madoff story? How about the recent change in breast cancer screening recommendation? Can existing visualizations be supplemented to provide even more information for the news reader? What will CAR look like in 5, 10 or 20 years? And with that vision, what can we do today to make it a reality?",3,0,0
2010,Screen scraping for beginners,Luke Rosiak,0,NA,Washington Times,0,"Washington, DC",0,"Want to convert a Web site with hundreds of pages of information into a structured database--without hours of tedious copying and pasting, and with very little computer coding necessary?",3,0,0
2010,Organize code snippets with wiki,James Wilkerson,0,NA,Des Moines Register,0,"Des Moines, IA",0,Want to access your code snippets from anywhere? A wiki might be your answer. (This from a dedicated wiki hater.),3,0,0
2010,Navigating a Form 990,Danielle Cervantes,0,NA,San Diego Union-Tribune,1,"San Diego, CA",0,Who files them? Where do you get them? What do they tell you?,3,0,0
2011,Similarity algorithms,Luke Rosiak,0,NA,Washington Times,0,"Washington, DC",0,"High-powered algorithms like Latent Semantic Analysis are simpler than they sound and can be applied to nearly anything, whether it's a document, a politician's voting record or a set of numbers. Let's use a Python library to identify campaign contributors with nearly identical giving patterns--and find out what else they have in common.",23,1,1
2011,Guido's Way: How to break news on Google App Engine,Ben Welsh,0,NA,Los Angeles Times,0,"Los Angeles, CA",0,"Learn how the Los Angeles Times publishes documents, spreadsheets,  campaign contributions and more using the cloud service developed by Python author Guido van Rossum's team at Google. You will walk out with dreams of a life without server crashes -- and a bucket of free code.",20,1,1
2011,Valet parking your Django app,Jeremy Bowers,0,NA,St. Petersburg Times,0,"St. Petersburg, FL",0,"Deploying your app is hard. Learn how to use services like Djangy, ep.io and others to handle deployments for you -- and you won't even have to remember which pocket you put your ticket in!",17,1,1
2011,The Quick and Dirty Varnish Setup (for Django),Andy Boyle,0,NA,New York Times Regional Media Group,0,"St. Petersburg, FL",0,"Huge traffic bogging down your site? Well, look no further than the Here's-How-Jeff-Larson-Told-Me-To-Do-This Varnish setup! A fast setup that even I could understand. I'll show you how to quickly install and set it up on a server, some dirty VCL code, what to throw on your Django views and some basic varnish commands. And BAM! CPU load from 99 percent to 3 percent.",17,1,1
2011,Making HTML Tables Interactive,Michelle Minkoff,0,NA,PBS,1,"Washington, DC",0,"Want to help your audience pull out the info they care about most from the data you post online? I'll show you how to use the JQuery plugin DataTables to make your online tables searchable, sortable and paginated -- no databases or hardcore programming required.",15,1,1
2011,Spatial analysis on the cheap,Andrew Long,0,NA,News21,0,"Phoenix, AZ",0,Let's go beyond mapping. Free software and code libraries that will help you understand the spatial nature of your data.,12,1,1
2011,NodeXL for Social Network Analysis,Peter Aldhous,0,NA,New Scientist,0,"San Francisco, CA",0,This free add-in to Excel 2007 and 2010 makes SNA easy. It also allows you to query the APIs of social media services including Twitter to draw networks of users discussing particular terms.,12,1,1
2011,Better Bulk SQL Imports in Ruby on Rails,Derek Willis,0,NA,New York Times,0,"Silver Spring, MD",0,Tired of looping through CSV files in order to do data imports? See how using ActiveRecord Extensions speeds up imports of large files and does smart updates to SQL databases.,12,1,1
2011,Extract-o-Matic: Two Cheap Tools For Getting Tables Out of PDFs,Robert Gebeloff,0,NA,New York Times,0,"New York, NY",0,Two low-cost software utilities we use at the Times to quickly grab tabular data from PDF files will be demonstrated.,11,1,1
2011,The Basics of MGRS Coordinates,Jacob Harris,0,NA,New York Times,0,"New York, NY",0,A really quick overview of how to work with Military Grid Reference System coordinates found in military reports.,11,1,1
2011,Social Network Analysis,Jacqueline Kazil,0,NA,Washington Post,1,"Washington, DC",0,"Social Network Analysis - overview of available analysis software, visualization software and a couple of examples of stuff that has been done.",10,0,0
2011,Geospatial & agent modeling in government & academia,Jacqueline Kazil,0,NA,Washington Post,1,"Washington, DC",0,"Brief introduction of advances in geospatial and agent based modeling, along with some examples of how it is being used and the data behind it. Example: http://vimeo.com/3937449",8,0,0
2011,Make friends with your news artist,Darla Cameron,0,NA,Tampa Bay Times,1,"St. Petersburg, FL",0,News artists and designers need you for good graphic and map ideas. And you need them so the project you worked so hard on doesn't come out looking terrible. I'll share some tips for working with the visual types in your newsroom for projects both online and in print.,7,0,0
2011,You don't have to be a Wizard to catch your data Snitch,Michael Strickland,0,NA,NYU,0,"New York, NY",0,"Can't get your hands on event data? Collect it yourself! Learn how The Washington Square News used reporters with iPhones at the Quidditch (yes, Quidditch) World Cup to collect data for real-time visualizations of game matches. nyunews.com/quidditch/",7,0,0
2011,How to unlock a pdf,John Perry,0,NA,Atlanta Journal-Constitution,0,"Atlanta, GA",0,"The evil PR guy gave you a PDF that's locked so you can't copy text? You can break the lock with the simple, free command-line utility qpdf.",6,0,0
2011,PHP scripts for quick & easy table coding,Sharon Machlis,0,NA,Computerworld,1,"Framingham, MA",0,Are you coding html tables by hand in order to get the exact code you want? Our Web production team was; but an internal tool written in PHP has since cut hours from that process. This would be a brief demo of the internal tool and showing how you can modify the code for your own needs.,5,0,0
2012,"Document Armaggeddon! Comparing billions of documents to find copycats, cheaters and thieves",Chase Davis,0,NA,Reveal,0,"San Francisco, CA",0,"Ok, so maybe ""billions"" is a stretch in practice -- but not in theory! This talk will demonstrate how to use a few lines of Python and Amazon's Elastic MapReduce framework to scan through an arbitrarily large set of documents and find those that are similar. We used it to find recycled bills from previous sessions of the California State Legislature, but the applications are endless.",40,1,1
2012,Interactive mapping with GeoDjango and Raphael,Anthony Pesce,0,NA,Los Angeles Times,0,"Los Angeles, CA",0,"Want to make custom thematic maps without Flash? Learn how the Los Angeles Times uses GeoDjango and the Raphael JavaScript library to create interactive, vector based maps that load in everything from IE7 to an iPad.",32,1,1
2012,Everything is Broken,Jeff Larson,0,NA,ProPublica,0,"New York, NY",0,"The computer systems we use every day are filled to the brim with hacks, bugs, and weird decisions. Let me take you on a tour of why nothing works. I'll crash my computer by the end, that's a promise.",31,1,1
2012,How I learned to stop worrying and love flat files.,Ben Welsh,0,NA,Los Angeles Times,0,"Los Angeles, CA",0,You could spend time and treasure building the perfect caching system for your news app (and then stay up all night worrying about it). Or you could flatten your database app into static files and serve it cheap and easy. Learn the Data Desk way to break news without breaking a server.,30,1,1
2012,Web scraping with Node,Al Shaw,0,NA,ProPublica,0,"New York, NY",0,"Node.js only has a couple good use cases. One of them is web scraping. Since you already know jQuery, Underscore and the DOM, it's more natural to scrape with JavaScript than the equivalent Ruby or Python libraries. Learn how tools like jsdom make it simple to scrape sites, even if you need to grab evaluated source.",28,1,1
2012,What Zen Buddhism can teach you about creativity.,Matt Waite,0,NA,University of Nebraska-Lincoln,0,"Lincoln, NE",0,"Whether you are a reporter starting on a story or a developer taking on a new app, how you approach it from the very beginning stages of the idea shapes how it will turn out. Believe it or not, Zen Buddhism has some advice on how you should approach your data app or investigative series. And it has something to do with tea.",28,1,1
2012,Cats! Cats! Cats!,Aron Pilhofer,0,NA,New York Times,0,"New York, NY",0,"This presentation will be nothing but pictures of cats! Cute cats, fat cats, skinny cats! Cats! Cats! Cats! Oh, but how about kittens you ask? Will this presentation include kittens? Yes! Kittens and cats!",27,1,1
2012,"Don't Hate the CMS, Subvert It",Jacob Harris,0,NA,New York Times,0,"New York, NY",0,"Those of us who build News Apps usually scorn the CMS, yet this often comes at the cost of traffic to our own sites. This talk will look at some strategies of pushing app promos into the CMS at the NYT and elsewhere.",24,1,1
2012,Practical TastyPie For the Modern Djangonaut,Jeremy Bowers,0,NA,Washington Post,0,"Washington, DC",0,"Wanna build an API? Sure, we all do. Practical TastyPie will focus on best practices and lessons learned from deploying APIs serving millions of records and hundreds of millions of requests at the Washington Post.",21,1,1
2012,Infiltrate the ad department!,Ryan Pitts,0,NA,Spokesman-Review,0,"Spokane, WA",0,"We know how to look at content and see a database model, we're willing to rebuild systems in our own image, and we're used to making things useful for readers. We're also lazy, so we make things as simple and automated as possible. I'll give a quick walkthrough of how we used our news nerd powers to pitch and build a flexible mobile advertising system that doesn't suck.",20,1,1
2012,What is... The Lambda Calculus?,Ted Han,0,NA,IRE,0,"Columbia, MO",0,"Dan Brown's next novel? No, It's what makes LISP and JavaScript and Scala wonderful. And it's also a way to represent human language. And it's even related to how we use SQL to query data sets.",19,1,0
2012,CoffeeScript: What it is and why it's cool,Heather Billings,0,NA,Chicago Tribune,1,"Chicago, IL",0,Nothing goes together better than coffee and code do. CoffeeScript makes writing JavaScript much nicer. This simple demo shows off a little code in both languages and an example coffeescript workflow.,18,0,1
2012,ILENE,Jennifer LaFleur,0,NA,ProPublica,1,"San Francisco, CA",0,The polite programming language you have been waiting for is coming soon. Learn what the folks at ILENE Laboratories are working on.   pls indicate a most positive vote now tu,18,1,0
2012,Finding money governments don't know what to do with,Matt Clark,0,NA,Newsday,0,"Melville, NY",0,Recent changes in government accounting standards allow journalists to determine how much money government agencies are piling up in reserves in a way they couldn't do before. Here's how it works.,16,0,0
2012,<Clever title here> about Github,James Wilkerson,0,NA,Washington Post,0,"Washington, DC",0,"Version control, code-sharing, geek networking - get it all in one convenient, (mostly) free package.",16,0,0
2012,We Don't Need No Stinking SQL: MongoDB in Production,Jeremy Bowers,0,NA,Washington Post,0,"Washington, DC",0,So you need to build a production MongoDB infrastructure. But the docs are atrocious! See: The horror of the monsterous configuration node! Hear: The wails of improperly sharded collections! Smell: The piquant scent of an undocumented REST API! We'll have a fully replicated and sharded architecture working in less than 5 minutes.,15,0,0
2012,DisJOINted,Chris Schnaars,0,NA,USA Today,0,"McLean, VA",0,"Don't know the difference between an inner and outer join? After 10 minutes, you will. And I'll throw in some cool tips you can use with your favorite database manger, such as using JOINs instead of a WHERE clause and to find pesky orphaned data. We may even have time for questions and pictures of Aron's cat.",15,0,0
2012,Pretending to be a real programmer,Michelle Minkoff,0,NA,Associated Press,1,"Washington, DC",0,"Lots of new tools are cropping up every day. Learning techniques are good, learning how to learn them are better. I'll share five not-so-secret secrets that can help us work more efficiently, bring the dreams in our heads to life, and(hopefully) keep us from going totally insane in the process.",13,0,0
2012,Old-school data liberation: Lessons from OpenMissouri.org,David Herzog,0,NA,Missouri School of Journalism,0,"Columbia, MO",0,"Like it or not, much of the data we need is kept offline by government agencies, out of the reach of your fancy-schmancy programming languages. Learn how you can uncover info about hundreds of data sets in your state with a little charm and persistence.",13,0,0
2012,Git is my time machine,Chris Amico,0,NA,NPR,0,"Washington, DC",0,"Database backup tools kinda suck. But a SQL dump is just a text file. What if we stashed that in a git repo? Then we'd have a versioned, distributed backup. Until Github shuts down my account.",13,0,0
2012,Be A Fulbright Scholar or Specialist,Steve Doig,0,NA,Walter Cronkite School of Journalism and Mass Communication,0,"Tempe, AZ",0,"You don't need a PhD to be part of the Fulbright program. Accomplished professionals with skills like yours are in demand around the world. Learn what it takes to apply and be selected for a chance to live and teach up to a year in some exotic place, with a stipend and living expenses covered.",12,0,0
2012,A little love for the print side,Bill Higgins,0,NA,Tampa Bay Times,0,"St. Petersburg, FL",0,"Save some newsroom wrists by creating on-demand downloads of styled text. 
What can be delivered? Any text your web app can produce. 
Examples: tables of election results or sports scores, crime calls, event calendars, movie listings, restaurant lists. 
This approach uses a Django framework and assumes the recipient is using InDesign or InCopy. 
Could be adapted for other frameworks and print design software (Quark?).",12,0,0
2012,Make the story shine,Heather Billings,0,NA,Chicago Tribune,1,"Chicago, IL",0,"Design usually takes a back seat to data crunching — after all, slick gradients never exposed speeding cops or slimy politicians, right? But following a few basic rules of thumb can help ensure that your cold hard facts have clarity, impact, and accessibility. I'll share a few tips that are easy to implement but make a big difference to your audience.",11,0,0
2012,Create a sortable HTML table from an Excel spreadsheet,Timothy Barmann,0,NA,Providence Journal,0,"Providence, RI",0,"Demo of a quick way to build an HTML table, ready to be placed on a web page, from an Excel spreadsheet. I'll show an Excel plugin to easily export a spreadsheet in JSON, a format readily used on Web pages, and how to incorporate it with a jQuery plugin to make a sortable HTML table. Yes, it can be done in 5 minutes!",10,0,0
2012,GeocodeAddressesJustWithGoogleSpreadsheet,Joe Kokenge,0,NA,ProPublica,0,"New York, NY",0,"I will use cutting edge cut and paste techniques to geocode addresses in a Google spreadsheet.  No programming, no code, one simple formula.  Cut, paste, click.  If someone brings a toddler, he or she can demonstrate and this talk will still take less than two minutes.",10,0,0
2012,"""So remind me, how did I do that?""  Maintaining your lab book",Tom Johnson,0,NA,Inst. for Analytic Journalism,0,"Santa Fe, NM",0,"As our methodologies become more complex, it becomes increasingly important that analytic journalists maintain their ""lab book"" of who did what to what, when and how.  NoteSync is a great little pop-up tool for making those notes, syncing them straight-away to Google Docs and, there, share them with colleagues or access them from any browser.  Cost?  $5!",9,0,0
2012,Pimp your Browser,Sean Campbell,0,NA,Columbia University School of Journalism,0,"New York, NY",0,Five browser extensions you should use every day across both Firefox and Chrome.,9,0,0
2012,When you can't or shouldn't do it alone,Wendell Cochran,0,NA,Investigative Reporting Workshop,0,"Washington, DC",0,"In some cases, it makes sense for news organizations to outsource parts of their data and application building functions. Tips on working with consultants in a news environment, including setting parameters, payment, deadlines.",9,0,0
2012,Squeezing PDF's,Ricardo Brom,0,NA,La Nacion,0,"Buenos Aires, Argentina",1,"The challenge is how to make information contained in scrapped PDF's, text or numbers, usefull in terms of accessibility and/or handling.",8,0,0
2012,WordPress plugin development,Matt Kiefer,0,NA,Chicago Tribune,0,"Chicago, IL",0,"You've taken some programming classes and know about variables, forms and functions. Now where do you start hacking? Get up and running quickly in a familiar environment with the WordPress plugin API. Built-in hooks and SQL calls make it simple to rejigger the world's most popular CMS however you see fit: geocode posts, curate twitter feeds, and otherwise make your blog/news site do stuff it didn't before. Caution: PHP ahead.",6,0,0
2012,From RSS to your inbox,Tom Johnson,0,NA,Inst. for Analytic Journalism,0,"Santa Fe, NM",0,"A great alternative to having to go to an RSS reader,  FeedMyInBox takes RSS updates and sends them, in digest form, to your email inbox.  Makes for easy access and fast scanning.",5,0,0
2012,iPad apps for Early Risers,Sean Campbell,0,NA,Columbia University School of Journalism,0,"New York, NY",0,5 Apps that you should open before 7am each morning.,5,0,0
2012,Building Hyper-Local Wikis with Wisci,Erik Paulson,0,NA,University of Wisconsin-Madison,0,"Madison, WI",0,"Wikipedia is great for ""notable"" subjects, but what if you want a wiki for your City Council or Planning Commission? The unstructured source data is out there, and Wisci helps users understand and use that data. Wisci builds on top of an advanced statistical inference engine and extracts meaning from the underlying data. We'll demonstrate how Wisci extracted information from terabytes of video, legislative documents, OCRed scans, webcrawls and news article archives for Madison, WI to assist in the creation of a Madison politics and government wiki.",4,0,0
2012,A Twitter Chat for Every Day of the Week,Sean Campbell,0,NA,Columbia University School of Journalism,0,"New York, NY",0,"A talk on five twitter chats that everyone should know about, participate in, and love.",3,0,0
2012,Hack that App for Data,Sebastian Mondial,0,NA,Independent,0,"Hamburg, Germany",1,"With a cheap tool usually used by Webworkers, you can easily see what data comes in and out your (i)phone (and its apps). Also, you can ""hack"" google map apps and other stuff very fast. And did i tell you all data is searchable? And replayable? Also, its easy and fun.",1,0,0
2013,5 algorithms in 5 minutes,Chase Davis,0,NA,Hot Type Consulting,0,"New York, NY",0,"Five algorithms from the data science world that will help you kick ass on the data journalism circuit. But wait, there's more! This presentation will be accompanied by a Github repo with working code and examples of journalistic applications.",51,1,1
2013,Django Retrained: Five ways coding like a Web developer can make you a better investigative reporter,Ben Welsh,0,NA,Los Angeles Times,0,"Los Angeles, CA",0,"It is the news that should fear your hand, not the other way around.",43,1,1
2013,Be Your wn Nate Silver.,Jeff Larson,0,NA,ProPublica,0,"New York, NY",0,I have 5 minutes to show you how to predict elections. And I'll do it.,42,1,1
2013,Fucking designers!,Aron Pilhofer,1,Miranda Mulligan,New York Times,0,"New York, NY",0,"They are always pointing out shit that has nothing to do with function, always up in your grill about some tiny tweak here, some UX improvement there. Who needs them?!? Actually, we do -- badly. Give us five minutes, and we'll show four practical examples of how design thinking has improved our work, and could improve your's too. Also, we'll show cute cats.",38,1,0
2013,Showing big datasets on small screens,Katie Park,0,NA,Washington Post,1,"Washington, DC",0,"When presenting huge data stories, make sure your mobile users aren't left out or forced to load massive datasets. Using WaPo's 2012 mobile election results as an example, I'll talk about creating lightweight data-driven web apps and tailoring the experience for mobile.",33,1,1
2013,Casino Driven Design,Al Shaw,0,NA,ProPublica,0,"New York, NY",0,"Sometimes you want your readers to pop potato chips for hours in a room with no windows but plenty of free drinks. Ditch Mechanical Turk, and embrace Casino Driven Design. We've had readers practice ""natural"" language processing on up to 25,000 PDFs a head in our casino, and yours can too!",30,1,1
2013,Let's make fun games for news,Sisi Wei,0,NA,ProPublica,1,"New York, NY",0,Want to make a news game with your data? I'll show you the exact 4 requirements on how to make a successful one. [Warning. News games are not gamification. They're real games.],29,1,1
2013,The soldering iron is the next great CAR tool.,Matt Waite,0,NA,University of Nebraska-Lincoln,0,"Lincoln, NE",0,Ever wanted to do a story that needed data that no one kept? What if you could create your own data gathering machines? You can. Cheap. And easy. How hardware hacking is the next data journalism skill.,28,1,1
2013,Z-Scores: How you can compare apples with oranges,Rob Gebeloff,0,NA,New York Times,0,"New York, NY",0,"A school has 23.8 students per classroom and average SAT score of 2050, and an attendance rate of 93.5 percent. By standardizing disparate values with z-scores, you can more precisely compare variables that are on different scales and build better indexes.",26,1,1
2013,Every State's Elections Are Weird,Jacob Harris,0,NA,New York Times,0,"New York, NY",0,"Practically every state has its own weird quirks in elections, and I saw them all in 2012. If I'm inspired enough (and can speak fast enough), I'll say all 50. One every 10 seconds. This will be hard.",25,1,1
2013,Teaching code: what we’ve learned from Code with me,Sisi Wei,0,NA,ProPublica,1,"New York, NY",0,"How Romeo and Juliet, cheap index cards, robots and root beer floats can teach students how to code. I’ll share the successes (and failures) from our workshops, and in 5 minutes leave you armed with new teaching tools.",23,0,0
2013,You need ILENE,Jennifer LaFleur,1,Jeff Larson,ProPublica,1,"San Francisco, CA",0,Kindly come learn about the best and most polite language for use in programming activities...ever developed. Thank you. (Featuring The Jeff Larson),22,0,1
2013,Community organizing for civic data projects,David Eads,0,NA,Chicago Tribune,0,"Chicago, IL",0,"The Supreme Chi-Town Coding Crew, a funky group of volunteer developers who aim to be as diverse as Chicago, has built a scraper and API for inmate data in the nation's largest jail. Learn about the project, the many failures that preceded it, and why this one is succeeding.",20,0,0
2013,Responsive Design Quiet Time,Ryan Pitts,0,NA,Spokesman-Review,0,"Spokane, WA",0,"Heard about responsive design but not sure how it works? Embarrassed at the water cooler when everyone's all ""Seriously, could you *believe* that max-width 768 on NPR yesterday? So badass.""? I'll build a stupid simple live demo from scratch, you'll leave knowing how CSS can target common screen widths. So basic, no talking required.",20,0,0
2013,Roll your own website change-tracker,Jeremy Singer-Vine,0,NA,Wall Street Journal,0,"New York, NY",0,"You want to keep tabs on changes to a website, but Versionista.com and other out-of-the-box services aren't cutting it. I'll show you how to roll your own quickly using Git's post-receive hooks and your programming language of choice.",19,0,0
2013,"Sing for me, Data: The rise of the Symphographic",Michael Keller,0,NA,The Daily Beast,0,"New York, NY",0,People are getting bored with infographics. Symphographics are the new hot shit. Michael and Brian will show off their data-driven dance music with csv soundsystem and how sound can bring out narratives in data. Featuring the first ever live symphographic mashup.,19,0,0
2013,Diff This,Jeremy Singer-Vine,0,NA,Wall Street Journal,0,"New York, NY",0,"This presentation will take a whirlwind tour through your options for ""diffing"" two similar text files. I'll present the pros, cons, and in-the-wild examples.",18,0,0
2013,Juking the stats,Ben Poston,0,NA,Los Angeles Times,0,"Los Angeles, CA",0,"Crime is down everywhere, right? Maybe not. I'll show you how to dig into your city or county's FBI crime data to see if it's bogus or not.",18,0,0
2013,Finding hidden APIs and Data via Apps,Sebastian Mondial,0,NA,ICIJ,0,"Hamburg, Germany",1,"Contrary to many Websites Apps have ""unlimited"" APIs - no Captcha, no throtteling or access limits. I'll show how to find them -even for beginners.",18,0,0
2013,Seeing the secret ballots,Matt Clark,0,NA,Newsday,0,"Melville, NY",0,How did voters for Obama or Romney vote for mayor of your city? How did different demographic groups vote in your area's races?  Here's how to use ecological inference to estimate answers.,14,0,0
2013,5 things to love about D3js before you even begin drawing,Julian Burgess,0,NA,The Guardian US,0,"New York, NY",0,Think D3js is just about SVG? There's much more to it than just that. A helpful overview of stuff you'll want to use in every interactive.,14,0,0
2013,Build an army of robots (in the cloud),Alastair Dant,0,NA,New York Times,0,"New York, NY",0,"Your whistle stop guide to splitting big processing tasks into tiny pieces, running them in parallel and then combining the results. World domination optional.",14,0,0
2013,Digging through the rubbish pile,Chris Amico,0,NA,Glass Eye Media LLC,0,"Boston, MA",0,"A quick tour through my favorite pieces of code I threw away, and what I learned from it.",13,0,0
2013,Flex your head: Booking your own hackathon,Tom Meagher,0,NA,Digital First Media,0,"New York, NY",0,"Tired of being the only news nerd in your town? Look to the punk rock scene for inspiration and d.i.y. Go to the local college, borrow some wifi, print up flyers and throw a hackathon. You may be surprised at the like-minded data misfits you'll attract. I'll share the many mistakes I made while organizing the inaugural ""Hack Jersey"" and offer tips on how you can foster a local counterculture of news innovation.",13,0,0
2013,Digging into local finances,Ryan McNeill,0,NA,Reuters,0,"New York, NY",0,Yo! Census has some datasets that can help you dig into local finances and compare across the country. We'll give a quick overview. Like a boss.,12,0,0
2013,Silent Lightning/a framework for sanity,Maurice Tamman,0,NA,Reuters,0,"New York, NY",0,Three of the historically most loquacious and opinionated attendees of NICAR must sit silently while the audience peppers them with questions about the technology that will save journalism. (A separate vote to be held that will identify the panelist.),12,0,0
2013,Tabula: extracting tables from PDFs,Manuel Aristarán,0,NA,OpenNews,0,"Buenos Aires, Argentina",1,"A demo of Tabula (http://tabula.nerdpower.org), a tool to liberate data tables trapped inside evil PDFs.",12,0,0
2013,"Dude, who stole my Congressman?",Paul Parker,0,NA,Providence Journal,0,"Providence, RI",0,"The U.S. House of Representatives is apportioned every 10 years, but population shifts constantly. Find out how to use yearly Census population estimates to find our whether your state is gaining or losing leverage in Washington, how many people you are away from the threshold, what demographic groups are the heroes or goats and what state stole your Congressman (or whose you stole). One Eastern Seaboard state has already gained a seat at the expense of a Midwestern state.",9,0,0
2013,Making friends with NetCDF files: climate data unleashed,Peter Aldhous,0,NA,New Scientist,0,"San Francisco, CA",0,"A demo of two simple tools used to wrangle and visualize the data behind http://warmingworld.newscientistapps.com/. They're free, and can unleash other datasets on weather, climate etc",9,0,0
2013,mitmproxy for journalism — and cats,Jeremy Singer-Vine,0,NA,Wall Street Journal,0,"New York, NY",0,"A brief introduction to mitmproxy — the powerful, versatile, SSL-capable man-in-the-middle proxy. I'll show a few examples of how it's useful for analyzing HTTP(S) traffic, and then demonstrate how to replace every image you see online with photos of cats.",8,0,0
